ڵ,,Ķ,ӽĶ,Ķ
0,﻿小戏骨：放开那三国 ,7,1/7986,0
1,小戏骨：放开那三国 ,237,1/2590,632
2,生存家族 ,295,1/2545,952
3,黑执事：大西洋之书 ,235,1/2543,1172
4,伤物语3：冷血篇 ,151,1/2547,843
5,《西贡小姐》二十五周年表演 ,9,1/3086,207
6,伤物语2：热血篇 ,397,1/2216,20551
7,理查三世 ,107,1/2474,4791
8,亨利六世：第二部分 ,1,1/3557,0
9,亚人2：冲突 ,7,1/2925,265
10,柠檬水 ,47,1/2623,1439
11,吹响悠风号：欢迎来到北宇治高中吹奏乐部 ,1,1/3479,0
12,少女与战车 剧场版 ,315,1/2199,22636
13,布兰卡和弹吉他的人 ,131,1/2357,9356
14,Love Live! 剧场版 ,14,1/2883,384
15,希德尼娅的骑士 剧场版 ,9,1/3063,130
16,神秘博士：最后的圣诞 ,5,1/3091,52
17,熟悉的陌生人 ,2,1/3499,0
18,姆明：漫游蓝湾 ,3,1/3556,0
19,小楼的奇幻生活 ,230,1/2357,9332
20,太秦灯光下 ,255,1/2273,19699
21,鲁邦三世：次元大介的墓碑 ,0,1/0,0
22,免费入睡 ,53,1/2458,2302
23,艾弗森 ,5,1/3095,65
24,杰克 ,66,1/2510,1995
25,古剑奇谭2：永夜初晗 ,0,1/0,0
26,帷幕：波洛的最后一案 ,1,1/3458,0
27,流浪的尤莱克 ,5,1/3114,169
28,生命如此美好 ,200,1/2353,11066
29,狗十三 ,158,1/2403,5362
30,寂静人生 ,17,1/2817,394
31,月光诗篇 ,28,1/2602,993
32,出路 ,118,1/2465,3351
33,旧罪的阴影 ,0,1/0,0
34,现实之舞 ,2,1/3556,0
35,那天妈妈来看我 ,42,1/2519,1892
36,我亲爱的甜橙树 ,187,1/2345,8220
37,奇特的故事 ,209,1/2380,9757
38,无法避免的战争 ,152,1/2383,4414
39,美丽心境界 ,16,1/2584,580
40,壳中少女：排气 ,0,1/0,0
41,今夕何夕 ,31,1/2579,1209
42,娜美篇 航海士的眼泪与牵绊 ,22,1/2561,1419
43,布拉姆的异想世界 ,21,1/2685,1280
44,魔法少女奈叶The MOVIE 2nd A's ,1,1/4368,0
45,图书馆战争：革命之翼 ,6,1/3177,1704
46,没有无辜的旁观者 ,152,1/2367,5453
47,摩斯探长前传 试映集 ,8,1/3038,68
48,完美对垒 ,98,1/2670,347
49,一点小信仰 ,39,1/2621,1284
50,永不独行 ,0,1/0,0
51,跳芭蕾舞的男孩 ,10,1/2831,141
52,五月的四天 ,91,1/2432,3706
53,回阵 ,166,1/2337,14106
54,谜之音 ,9,1/2743,42
55,蓝学校 ,306,1/2164,27556
56,飞哥与小佛的时空大冒险 ,0,1/0,0
57,博学无术 ,34,1/2568,2158
58,便当盒里的小秘密 ,6,1/3034,337
59,讲台深处 ,13,1/2879,410
60,攻壳机动队SSS 3D ,2,1/3599,0
61,阿曼尼亚：欢迎来到德国 ,107,1/2372,8127
62,天天好天 ,64,1/2463,2867
63,苍穹之法芙娜：天堂和地球 ,32,1/2517,1336
64,停靠 ,50,1/2539,1377
65,永远活下去 ,63,1/2480,2006
66,巧舌如父 ,3,1/3319,10
67,哥哥的烟火 ,148,1/2358,7746
68,这样的爱 ,178,1/2363,6938
69,幸存的生命（理论与实践） ,25,1/2634,839
70,你想要的一切 ,7,1/2865,476
71,最狂野的梦想：征服珠峰 ,331,1/2161,29227
72,科帕卡巴纳 ,37,1/2486,1602
73,毛嗑儿 ,11,1/2823,846
74,不要摄像机 ,43,1/2559,1668
75,赤脚梦想 ,86,1/2407,5142
76,与春同行 ,222,1/2331,10746
77,枪神 剧场版 ,0,1/0,0
78,这不是弥赛亚 ,0,1/0,0
79,以德报怨 ,3,1/3307,31
80,无蝉的夏天 ,211,1/2350,11136
81,豆满江 ,32,1/2619,1446
82,革命前夕的录音日记 ,0,1/0,0
83,哈姆雷特 ,83,1/2380,7998
84,小岛 ,183,1/2367,6429
85,风愿 ,47,1/2487,3065
86,国家地理：走进迷幻剂 ,8,1/2976,78
87,狼 ,48,1/2526,2006
88,祖母 ,42,1/2607,1131
89,迈克尔·杰克逊追思会 ,0,1/0,0
90,枪声俱乐部 ,58,1/2438,4631
91,巴比伦之子 ,29,1/2577,1167
92,阿阿奇与西西帕克 ,144,1/2381,4437
93,被投石处死的索拉雅·M ,86,1/2417,4886
94,纽约 ,42,1/2557,1608
95,破碎 ,1,1/3599,0
96,60岁的情书 ,5,1/2988,161
97,无人知晓的波斯猫 ,70,1/2405,5124
98,鲜花 ,4,1/3175,28
99,天元突破剧场版：螺岩篇 ,19,1/2606,693
100,彼岸 ,16,1/2735,874
101,给雅各布神父的信 ,64,1/2457,4539
102,战火重生 ,0,1/0,0
103,飞出个未来大电影4：绿色狂想 ,13,1/2767,495
104,时光之尘 ,221,1/2318,13965
105,恩赐妙手：班·卡森医师 ,21,1/2552,1593
106,不是我，我发誓！ ,9,1/3166,203
107,在瑞士的日子 ,46,1/2505,2818
108,西部牛仔太空歌舞剧 ,2,1/3293,106
109,马丁弗里曼的Motown之旅 ,0,1/0,0
110,布吉舞 ,151,1/2355,10118
111,梅第奇家族：现代艺术缔造者 ,45,1/2515,2587
112,布兰妮：郑重声明 ,143,1/2374,4478
113,吗啡 ,17,1/2616,1119
114,吻 ,45,1/2537,1392
115,我将在好莱坞长眠 ,37,1/2535,1180
116,是的，我们行！ ,69,1/2425,3532
117,李尔王 ,22,1/2646,734
118,给斯大林的礼物 ,13,1/2952,173
119,吉屋出租：百老汇剧场版 ,0,1/0,0
120,滚拉拉的枪 ,46,1/2522,3604
121,天元突破剧场版：红莲篇 ,18,1/2571,1100
122,呆瓜的崛起 ,197,1/2331,10495
123,秋天 ,190,1/2331,12043
124,勿忘我 ,43,1/2564,2905
125,山樱 ,253,1/2270,18002
126,小小的叛国者 ,15,1/2715,136
127,爱的真谛 ,8,1/2970,542
128,河狸白毛历险记 ,143,1/2374,4478
129,追火车日记 ,51,1/2456,2843
130,列国图志之澳大利亚 ,0,1/0,0
131,西班牙城堡 ,9,1/2879,287
132,佛在耻辱中倒塌 ,42,1/2520,1803
133,香巴拉信使 ,198,1/2345,8388
134,教宗的洗手间 ,228,1/2320,13695
135,一样的月光 ,180,1/2352,8561
136,英伦性丑闻 ,146,1/2368,4991
137,愛と生命と涙の全記録「余命一ヶ月の花嫁」～乳がんと闘った24歳～最後のメッセージ ,17,1/2750,622
138,The Sky Remains The Same As Ever ,1,1/3556,0
139,狗和狼之間的时间 ,0,1/0,0
140,与我的园丁对话 ,16,1/2735,953
141,加州梦 ,85,1/2393,7231
142,魂归伤膝谷 ,8,1/2916,252
143,辛普森一家之24分钟蛋糕卖场反臭弹 ,143,1/2373,4505
144,二维世界 ,4,1/3257,19
145,雅各布斯和路易威登 ,0,1/0,0
146,天线 ,24,1/2607,1206
147,伯特伦旅馆之谜 ,1,1/4845,0
148,光荣之子 ,50,1/2478,2512
149,科学睡眠2 ,0,1/0,0
150,失控的校园 ,192,1/2355,9614
151,伊斯坦布尔的幸福 ,18,1/2643,1324
152,少年导演 ,4,1/3271,142
153,战鼓 ,0,1/0,0
154,我和托马斯 ,5,1/3055,200
155,男人上路 ,0,1/0,0
156,动物之森 ,4,1/3115,185
157,沉重的决定 ,11,1/2985,350
158,婚纱 ,0,1/0,0
159,勒克瑙之花 ,2,1/3524,0
160,两周 ,5,1/3115,378
161,布加勒斯特东12点8分 ,98,1/2403,6918
162,梦比优斯奥特曼和奥特兄弟 ,8,1/2978,327
163,喀布尔快递 ,28,1/2670,1308
164,同名人 ,39,1/2547,1244
165,黑帮大佬和平梦 ,108,1/2404,6176
166,长途漫步 ,38,1/2584,2158
167,大器晚成 ,14,1/2827,540
168,乔丹传奇-二十年的统治 ,4,1/3003,41
169,探索频道： 非洲超级七兽 ,168,1/2346,7668
170,像土豆一样的信仰 ,149,1/2362,5706
171,列国图志之巴西 ,0,1/0,0
172,飞 ,2,1/3471,39
173,紫陀螺 ,24,1/2785,422
174,来自俄亥俄的获奖者 ,20,1/2668,556
175,威尔和格蕾丝 告别秀 ,2,1/3433,0
176,彼得调频 ,3,1/4657,0
177,四月某时 ,28,1/2613,2329
178,机动战士Z高达Ⅲ 星辰的鼓动是爱 ,0,1/0,0
179,煦阳岭的疑云 ,0,1/0,0
180,魔手 ,0,1/0,0
181,盲者之国 ,6,1/3139,64
182,小鹿斑比2 ,6,1/2838,28
183,长矛的尖端 ,17,1/2624,1017
184,苍穹之法芙娜：逝者的权利 ,2,1/3374,82
185,我的家人和其他动物 ,8,1/3073,230
186,伊丽莎白 ,0,1/0,0
187,爱是漫长旅程 ,22,1/2622,1609
188,梦魇疯人院 ,21,1/2676,1390
189,蝉时雨 ,172,1/2364,6899
190,战场上的小人球 ,72,1/2449,5004
191,绘画抑制9 ,11,1/2875,402
192,古巴万岁 ,66,1/2419,5179
193,12岁的少年 ,74,1/2396,6728
194,记得童年那首歌 ,11,1/2785,398
195,小黄狗的窝 ,78,1/2412,6207
196,斯蒂威.格瑞菲:未曝光的故事 ,0,1/0,0
197,秋雨 ,74,1/2413,6116
198,无知的声音 ,19,1/2697,1145
199,绅士的启示联盟 ,5,1/3021,68
200,机动战士Z高达：星之继承者 ,0,1/0,0
201,杀戮禁区 ,81,1/2418,5354
202,亚当的苹果 ,72,1/2424,5921
203,圣·拉尔夫 ,24,1/2650,1006
204,我们的音乐 ,16,1/2669,564
205,生命国界 ,163,1/2365,7365
206,替天行道三人行 ,8,1/3015,482
207,布拉格狂想曲 ,62,1/2468,3720
208,小熊维尼之长鼻怪大冒险 ,3,1/3342,26
209,黑色的风采 ,8,1/2776,758
210,奥斯维辛 ,1,1/3517,0
211,国王与王后 ,59,1/2460,3540
212,黑熊维尼 ,10,1/2950,556
213,爱无国界 ,85,1/2431,4422
214,安徒生之童话人生 ,18,1/2741,315
215,蠢蛋玩世界 ,3,1/3306,20
216,劳拉的星星 ,55,1/2466,3162
217,春天花盛开 ,244,1/2279,16502
218,撼动生命 ,145,1/2400,4193
219,其实在天堂 ,204,1/2338,10904
220,上学路上 ,90,1/2391,6113
221,在天堂遇见的五个人 ,185,1/2348,7834
222,海洋热 ,174,1/2397,5148
223,公共王国的旅行 ,0,1/0,0
224,关于浪漫时代的一个漫长婚约 ,1,1/3510,0
225,狮路历程 ,3,1/3473,0
226,土地与尘埃 ,6,1/2978,91
227,勇踏星途 ,21,1/2836,705
228,给坏小子的歌 ,0,1/0,0
229,天作之盒 ,144,1/2408,3838
230,乡村照相馆 ,2,1/3464,0
231,维纳斯宾馆 ,159,1/2353,6961
232,米开朗基罗 ,40,1/2594,1424
233,暹罗复兴 ,7,1/2935,349
234,老子 ,0,1/0,0
235,女权天使 ,43,1/2518,2044
236,最后的木琴师 ,28,1/2549,1053
237,森林鲁滨逊 ,0,1/0,0
238,萨拉邦德 ,182,1/2353,7558
239,去往蒙巴萨的单程票 ,39,1/2493,1796
240,昭和歌谣大全集 ,149,1/2361,5395
241,我美丽的守护天使 ,248,1/2313,12604
242,真情电波 ,33,1/2516,2046
243,庞贝古城：最后的一天 ,13,1/2777,448
244,特蕾莎修女 ,153,1/2367,5226
245,亚伯拉罕先生 ,87,1/2386,7752
246,雪行者 ,4,1/3152,9
247,约翰福音 ,1,1/3397,0
248,剧场版 假面骑士555 消失的天堂 ,2,1/3523,0
249,鲁邦三世：宝物返还大作战 ,0,1/0,0
250,遥远的光辉 ,67,1/2454,4311
251,我的妹妹小桃子 ,42,1/2606,2565
252,生命的重托 ,15,1/2726,943
253,我的黄金时代 ,19,1/2721,766
254,消失在地图上的名字 ,16,1/2655,912
255,星际5555：异星梦系统秘传 ,1,1/3486,0
256,我是大卫 ,63,1/2476,4163
257,寻爱之旅 ,16,1/2768,248
258,翼神世音 多元变奏曲 ,8,1/2853,457
259,航向热带岛屿的冰山 ,42,1/2549,2345
260,美丽的秘密 ,0,1/0,0
261,生死花园 ,179,1/2349,8305
262,小猪大行动 ,145,1/2367,6252
263,法拉利传 ,11,1/3137,361
264,早春二月 ,54,1/2528,2353
265,芳心他属 ,39,1/2450,2527
266,失落的王子 ,161,1/2352,6747
267,平安夜 ,15,1/2797,887
268,皇家俱乐部 ,48,1/2461,3086
269,尘世之间 ,16,1/2656,1512
270,索利诺 ,38,1/2658,1446
271,些许故事 ,35,1/2560,1680
272,希弗和希索 ,8,1/3152,288
273,艾迪 ,167,1/2354,7547
274,断魂枪声 ,7,1/2941,411
275,阿弥陀堂讯息 ,123,1/2337,8053
276,火车上的男人 ,171,1/2368,7157
277,春天的杜鹃 ,152,1/2361,7085
278,太阳背后 ,144,1/2369,4681
279,恶魔的孩子 ,162,1/2362,6032
280,一无所有 ,1,1/3435,0
281,演员工作室：约翰尼·德普 ,0,1/0,0
282,野丫头 ,7,1/2936,130
283,风的第一声呼吸 ,0,1/0,0
284,杀人优越权 ,401,1/2471,3380
285,星河战队：火星叛国者 ,165,1/2544,1448
286,王牌保镖 ,498,1/2483,3746
287,鲛珠传 ,584,1/2352,8397
288,星游记之风暴法米拉 ,165,1/2441,4514
289,青年警察 ,165,1/2648,312
290,六天 ,528,1/2252,16852
291,反恐特警组：潜龙突围 ,36,1/2751,467
292,军舰岛 ,572,1/2536,2251
293,首杀 ,40,1/2752,444
294,悟空传 ,745,1/2445,7555
295,赛尔号大电影6：圣者无敌 ,161,1/2464,3244
296,西谎极落之太爆太子太空舱 ,307,1/2388,6971
297,三生三世十里桃花 ,771,1/2364,17218
298,喵星人 ,537,1/2351,7100
299,海滩的一天 ,265,1/2523,1281
300,裸婚大喜 ,161,1/2467,4626
301,大护法 ,606,1/2348,24030
302,反转人生 ,417,1/2462,3133
303,绝世高手 ,629,1/2438,5501
304,父子雄兵 ,612,1/2390,8206
305,闪光少女 ,526,1/2442,5769
306,仓皇一夜 ,403,1/2371,7954
307,重装上阵 ,232,1/2487,3210
308,神偷奶爸3 ,644,1/2408,6569
309,李雷和韩梅梅 ,458,1/2492,2551
310,美好的意外 ,430,1/2475,2455
311,内裤队长 ,144,1/2471,4111
312,“吃吃”的爱 ,567,1/2471,3826
313,战争机器 ,537,1/2299,11639
314,不期而遇 ,345,1/2485,1994
315,海滩游侠 ,457,1/2278,13266
316,母女大战 ,6,1/3039,35
317,麻烦家族 ,430,1/2457,3546
318,如何成为拉丁情人 ,26,1/2730,485
319,傲娇与偏见 ,421,1/2488,2248
320,爸爸是女儿 ,252,1/2500,2040
321,春娇救志明 ,756,1/2465,7581
322,指甲刀人魔 ,482,1/2517,2073
323,喜欢你 ,771,1/2498,5126
324,三个老枪手 ,495,1/2443,4079
325,有完没完 ,635,1/2339,10286
326,蓝精灵：寻找神秘村 ,378,1/2414,4872
327,加州公路巡警 ,160,1/2488,2557
328,救僵清道夫 ,565,1/2290,13661
329,宝贝老板 ,470,1/2412,4652
330,婚宴桌牌19号 ,244,1/2453,3731
331,打拳架 ,83,1/2584,2604
332,酒吧 ,319,1/2433,4691
333,合约男女 ,367,1/2492,1580
334,乐高蝙蝠侠大电影 ,444,1/2502,1661
335,东北往事之破马张飞 ,393,1/2417,4923
336,希望的另一面 ,344,1/2417,4432
337,猪肉馅饼 ,164,1/2414,5862
338,无处为家 ,386,1/2461,2813
339,乘风破浪 ,811,1/2463,9686
340,西游伏妖篇 ,817,1/2355,25938
341,安娜贝尔2：诞生 ,329,1/2420,5024
342,毁灭僵尸 ,146,1/2386,3594
343,生化危机：复仇 ,499,1/2295,11168
344,异形：契约 ,761,1/2449,7751
345,黑夜造访 ,265,1/2369,9660
346,失眠 ,444,1/2417,5036
347,异星觉醒 ,718,1/2420,8074
348,鬼话怪谈·祥云寺 ,20,1/2950,399
349,午夜凶铃3(美版) ,156,1/2395,6524
350,逃出绝命镇 ,602,1/2470,3892
351,新娘 ,90,1/2462,5198
352,送葬人 ,7,1/3196,17
353,疗养怨 ,53,1/2566,1467
354,分裂 ,526,1/2464,3749
355,诡魔童 ,295,1/2375,8520
356,女妖 ,15,1/2844,274
357,天呐我的丧尸！ ,56,1/2582,1516
358,育婴室 ,216,1/2436,3059
359,索命APP ,13,1/2836,37
360,别挂电话 ,95,1/2460,4076
361,死亡占卜2：恶灵始源 ,91,1/2499,1696
362,深海逃生 ,81,1/2705,350
363,刑柱之地2 ,73,1/2496,2684
364,天赐之女 ,372,1/2341,11500
365,虚空异界 ,211,1/2395,9030
366,别敲两次门 ,277,1/2348,12176
367,三十一 ,449,1/2197,25990
368,布莱尔女巫 ,206,1/2364,9382
369,无名女尸 ,699,1/2236,33550
370,当树枝折断时 ,188,1/2350,11714
371,我不是连环杀手 ,64,1/2470,3548
372,致命邻居 ,276,1/2306,16406
373,26种死法2.5：M号档案 ,78,1/2666,1274
374,病毒 ,89,1/2450,5790
375,中邪 ,429,1/2350,12185
376,关灯后 ,340,1/2315,14500
377,魔都凶音 ,400,1/2235,15883
378,人类清除计划3 ,443,1/2237,19798
379,丧尸围城：终结篇 ,159,1/2376,8758
380,贞子大战伽椰子 ,237,1/2354,10442
381,恐吓运动 ,264,1/2360,10540
382,招魂2 ,466,1/2318,18594
383,夺命来电 ,149,1/2412,6741
384,恐怖故事3：火星来的少女 ,3,1/4733,0
385,笔仙大战贞子 ,132,1/2438,4452
386,少女椿 ,361,1/2408,7098
387,末世肉体 ,86,1/2453,4941
388,生吃 ,240,1/2371,8448
389,死亡笔记 ,284,1/2451,3283
390,京城81号2 ,436,1/2445,3225
391,一天 ,381,1/2488,2127
392,22年后的自白：我是杀人犯 ,69,1/2562,2061
393,浮生梦 ,276,1/2491,1706
394,夏天19岁的肖像 ,351,1/2505,1559
395,惊天解密 ,350,1/2421,6367
396,拆弹专家 ,608,1/2469,4661
397,墙里的声音 ,272,1/2360,9662
398,记忆大师 ,777,1/2453,7014
399,神秘家族 ,422,1/2438,4114
400,梅格雷的十字路口之夜 ,68,1/2551,2379
401,名侦探柯南：唐红的恋歌 ,174,1/2460,4226
402,时间上的家 ,249,1/2574,782
403,暗黑女子 ,295,1/2341,11649
404,嫌疑人X的献身 ,800,1/2462,9498
405,目击者之追凶 ,539,1/2571,1603
406,夜色撩人 ,322,1/2434,3133
407,我们 ,221,1/2411,6683
408,糜骨之壤 ,111,1/2512,2115
409,命运晚餐 ,8,1/3084,146
410,忽然七日 ,340,1/2418,4167
411,柏林综合症 ,260,1/2399,5551
412,你好，疯子！ ,505,1/2472,3918
413,那年夏天你去了哪里 ,409,1/2451,4124
414,梅格雷的亡者 ,114,1/2491,2966
415,绝对控制 ,392,1/2455,2920
416,灵魂纸扎店 ,72,1/2457,4071
417,罗曼蒂克消亡史 ,802,1/2500,4363
418,BLAME! ,370,1/2479,1875
419,重返17岁 ,179,1/2511,1366
420,P与JK ,69,1/2858,75
421,黑子的篮球：最后的游戏 ,10,1/2729,327
422,午睡公主 ,109,1/2584,1466
423,啦啦队之舞：女高中生用啦啦队舞蹈征服全美的真实故事 ,80,1/2574,2172
424,哆啦A梦：大雄的南极冰冰凉大冒险 ,392,1/2457,2675
425,春&夏事件簿 ,2,1/5904,0
