ڵ,,Ķ,ӽĶ,Ķ
827,无限商社2016：危机的公司职员 ,3,1/3235,32
828,阿修罗 ,694,1/2167,57664
829,你自己与你所有 ,251,1/2308,20500
830,密探 ,566,1/2161,46513
831,网 ,507,1/2153,43446
832,祖父 ,481,1/2095,56147
833,最坏的一天 ,312,1/2128,39473
834,犯罪女王 ,345,1/2115,44903
835,首尔站 ,475,1/2183,37446
836,隧道 ,696,1/2259,37623
837,国家代表2 ,520,1/2070,67501
838,德惠翁主 ,484,1/2225,30591
839,仁川登陆作战 ,532,1/2170,43486
840,诡计 ,370,1/2127,43269
841,凤伊金先达 ,4,1/3187,248
842,告别单身 ,199,1/2266,31258
843,狩猎 ,461,1/2138,45179
844,没有秘密 ,432,1/2195,30961
845,我们的世界 ,515,1/2259,29965
846,女人的战争之肮脏的交易 ,305,1/2125,38812
847,特别搜查：死囚来信 ,31,1/2613,1332
848,致命恋爱 ,445,1/2138,43613
849,善良的女秘书的目的 ,0,1/0,0
850,季春奶奶 ,434,1/2303,21974
851,小姐 ,699,1/2286,32623
852,釜山行 ,844,1/2288,41200
853,哭声 ,649,1/2277,30336
854,名侦探洪吉童：消失的村庄 ,227,1/2239,34382
855,恋爱谈 ,443,1/2178,33367
856,年轻母亲4 ,4,1/3119,2
857,我的新野蛮女友 ,561,1/2140,48592
858,伟大的愿望 ,156,1/2340,15713
859,解语花 ,290,1/2338,15504
860,时间脱离者 ,468,1/2142,46651
861,日历女孩 ,305,1/2125,38812
862,来看我吧 ,376,1/2155,38482
863,蚀 ,119,1/2352,13641
864,大演员 ,374,1/2194,27819
865,等着你 ,423,1/2177,36120
866,我朋友的老姐 ,0,1/0,0
867,男与女 ,583,1/2224,37049
868,鬼乡 ,536,1/2245,30975
869,纯情 ,480,1/2162,43367
870,家教高级课程 ,82,1/2434,11562
871,请点赞 ,60,1/2411,5154
872,东柱 ,495,1/2132,49034
873,酒神小姐 ,415,1/2330,17634
874,检察官外传 ,477,1/2284,23777
875,机器人SORI ,81,1/2465,4790
876,那天的氛围 ,35,1/2498,1824
877,寄宿公寓2 ,2,1/3375,0
878,不要忘记我 ,395,1/2106,49821
879,朝鲜魔术师 ,313,1/2128,39459
880,大虎 ,475,1/2212,30399
881,喜马拉雅 ,453,1/2157,40800
882,爱丽丝：从仙境来的少年 ,310,1/2131,37529
883,追逐时间 ,305,1/2129,37526
884,戏剧性的一夜 ,311,1/2127,40114
885,空即是色 ,311,1/2168,27515
886,桃李花歌 ,50,1/2453,4236
887,假装热情 ,315,1/2153,33667
888,局内人 ,573,1/2268,28780
889,我有时候也想成为A片主人公 ,90,1/2420,10429
890,黑司祭们 ,398,1/2208,28684
891,那家伙 ,35,1/2458,2987
892,对不起，我爱你，谢谢你 ,4,1/3029,15
893,新建文件夹2 ,305,1/2125,38812
894,诱人的飞行 ,308,1/2139,34547
895,手机 ,363,1/2187,29123
896,独家报道：良辰杀人记 ,342,1/2158,32905
897,胶片时代爱情 ,327,1/2155,35709
898,有夫之妇 ,305,1/2125,38812
899,愤怒的律师 ,312,1/2143,35544
900,另有他路 ,352,1/2168,48600
901,4等 ,391,1/2153,38521
902,光辉岁月 ,60,1/2414,5482
903,第二次二十岁 ,124,1/2363,14803
904,侦探：开端 ,316,1/2124,39551
905,西部战线 ,350,1/2357,8584
906,课中坏事 ,305,1/2124,39091
907,陷阱：致命的诱惑 ,0,1/0,0
908,突然变异 ,451,1/2187,35872
909,陷阱 ,179,1/2281,28882
910,猪一样的女子 ,8,1/2792,116
911,美味人妻2 ,305,1/2124,39091
912,治外法权 ,305,1/2124,39091
913,妈妈的朋友 ,354,1/2170,32067
914,妻子小姐 ,375,1/2191,28285
915,侠女：剑的记忆 ,325,1/2138,37091
916,最后的慰安妇 ,306,1/2119,41276
917,客人 ,320,1/2138,35559
918,圣母 ,92,1/2417,7392
919,牙齿与指甲 ,84,1/2624,970
920,我的亲密敌人 ,90,1/2382,9179
921,少数意见 ,137,1/2379,10545
922,延坪海战 ,330,1/2179,25423
923,极秘搜查 ,146,1/2346,14735
924,京城学校：消失的少女们 ,11,1/2863,666
925,外出 ,7,1/2841,72
926,隐秘的诱惑 ,337,1/2164,31853
927,美景之屋2 ,0,1/0,0
928,无赖汉 ,344,1/2175,29852
929,奸臣 ,419,1/2219,25106
930,办公室 ,229,1/2331,14225
931,罪恶的编年史 ,342,1/2150,35064
932,恋爱的味道 ,335,1/2155,34368
933,年轻母亲：我年纪如何 ,4,1/3119,2
934,中国城 ,421,1/2200,30583
935,危险的见面礼2 ,320,1/2113,43934
936,长寿商会 ,416,1/2212,28440
937,最后的骑士 ,307,1/2150,32967
938,二十 ,378,1/2182,30359
939,杀人依赖 ,84,1/2391,10361
940,社交恐惧症 ,339,1/2160,33015
941,纯真时代 ,459,1/2132,49319
942,地狱奶奶 ,31,1/2517,1864
943,雪路 ,310,1/2237,32189
944,亲切的家政妇 ,1,1/3361,0
945,朝鲜名侦探：奴隶的女儿 ,316,1/2115,43299
946,如此美好 ,406,1/2080,55418
947,于宇同：无主之花 ,309,1/2118,41970
948,朝我心脏开枪 ,51,1/2425,5251
949,江南1970 ,510,1/2171,43532
950,猫的葬礼 ,321,1/2159,34490
951,许三观 ,449,1/2209,31493
952,今天的恋爱 ,119,1/2360,10488
953,工作女郎 ,334,1/2173,28880
954,偷狗的完美方法 ,183,1/2285,23542
955,高手们 ,393,1/2210,25378
956,尚衣院 ,358,1/2140,40792
957,国际市场 ,607,1/2216,40042
958,德水里五兄弟 ,31,1/2500,1691
959,怨女日记 ,19,1/2638,938
960,顶级较量 ,23,1/2542,1267
961,把爸爸借给你 ,311,1/2127,40941
962,少年轻狂 ,305,1/2119,41262
963,愈合伴侣 ,0,1/0,0
964,时尚王 ,41,1/2489,2819
965,馨荣堂日记 ,83,1/2431,8772
966,情事 ,1,1/3361,0
967,我的独裁者 ,314,1/2142,37084
968,我们是兄弟 ,306,1/2125,39467
969,红地毯 ,39,1/2502,2525
970,我的爱我的新娘 ,36,1/2469,2747
971,下水井 ,368,1/2212,22421
972,布拉芙夫人 ,393,1/2195,29774
973,举报者 ,131,1/2375,9633
974,慢放镜头 ,440,1/2139,43246
975,食物链 ,0,1/0,0
976,烈性摔跤 ,305,1/2126,39538
977,自由之丘 ,375,1/2129,41636
978,老千2：神之手 ,471,1/2191,36104
979,扑通扑通我的人生 ,463,1/2244,24677
980,花葬 ,106,1/2358,12811
981,海雾 ,564,1/2232,32687
982,海盗 ,409,1/2199,29494
983,鸣梁海战 ,620,1/2254,31685
984,群盗：民乱的时代 ,411,1/2203,28284
985,好朋友们 ,248,1/2322,16483
986,神之一手 ,377,1/2123,45974
987,仅此一夜 ,0,1/0,0
988,少女怪谈 ,306,1/2118,41478
989,千万次呼唤 ,0,1/0,0
990,庆州 ,105,1/2369,10445
991,为了皇帝 ,306,1/2119,41537
992,哭泣的男人 ,363,1/2207,24048
993,高跟鞋 ,355,1/2168,32812
994,一对一 ,188,1/2299,21203
995,道熙呀 ,242,1/2352,13789
996,走到尽头 ,530,1/2271,24220
997,人间中毒 ,482,1/2230,29732
998,标靶 ,331,1/2163,30610
999,逆鳞 ,395,1/2199,29387
1000,10分钟 ,76,1/2408,7505
1001,彷徨之刃 ,94,1/2380,8430
1002,荆棘 ,376,1/2154,34918
1003,素描少女 ,1,1/3506,0
1004,青春学堂 ,19,1/2589,2251
1005,优雅的谎言 ,276,1/2297,21889
1006,怪物 ,94,1/2387,9391
1007,遭难者们 ,15,1/2678,314
1008,女演员大作战 ,307,1/2117,41946
1009,危险的传言 ,188,1/2261,31255
1010,官能的法则 ,4,1/3156,2
1011,夜间飞行 ,278,1/2282,21477
1012,朝鲜美女三剑客 ,318,1/2118,42992
1013,基因危机：天才科学家的五日 ,315,1/2135,38041
1014,热血青春 ,341,1/2216,35203
1015,当男人恋爱时 ,216,1/2262,22812
1016,美味人妻 ,0,1/0,0
1017,杀人者 ,7,1/2853,41
1018,计划男 ,251,1/2247,28291
1019,嫌疑人 ,384,1/2201,27515
1020,辩护人 ,706,1/2315,30802
1021,偷心贼 ,486,1/2098,57399
1022,回家的路 ,377,1/2313,20891
1023,华丽的外出 ,99,1/2386,11031
1024,11时 ,94,1/2386,9330
1025,结婚前夜 ,72,1/2405,6142
1026,朋友2 ,425,1/2124,46109
1027,两个心脏 ,338,1/2157,32730
1028,夜关门：欲望之花 ,419,1/2125,44336
1029,同窗 ,425,1/2114,48755
1030,屏息 ,93,1/2381,9314
1031,恋爱的技术 ,244,1/2270,23701
1032,惩戒者 ,89,1/2389,9328
1033,共犯 ,366,1/2182,29284
1034,演员就是演员 ,112,1/2355,11324
1035,顶级明星 ,0,1/0,0
1036,起爆 ,84,1/2399,8089
1037,夜之女王 ,12,1/2650,612
1038,云霄飞车 ,120,1/2359,11926
1039,华颐：吞噬怪物的孩子 ,203,1/2303,19822
1040,韩公主 ,420,1/2203,32186
1041,幸福出租车 ,19,1/2625,1131
1042,素媛 ,603,1/2333,24240
1043,强哲 ,82,1/2408,5732
1044,花样厨神 ,275,1/2384,9377
1045,我们善熙 ,160,1/2355,11750
1046,观相 ,380,1/2260,29486
1047,莫比乌斯 ,235,1/2315,18646
1048,变身小姐 ,115,1/2332,16095
1049,间谍 ,340,1/2154,33366
1050,流感 ,437,1/2357,18894
1051,玫瑰汽车旅馆 ,13,1/2750,122
1052,雪国列车 ,734,1/2305,31607
1053,恐怖直播 ,709,1/2214,49407
1054,冥王星 ,6,1/2898,43
1055,鼓舞激情 ,40,1/2464,3605
1056,绝密跟踪 ,491,1/2283,26718
1057,杀人漫画 ,450,1/2211,30332
1058,提线木偶 ,40,1/2475,3171
1059,樱桃呀，恋爱吧 ,13,1/2720,903
1060,隐秘而伟大 ,523,1/2237,31962
1061,恐怖故事2 ,43,1/2472,2518
1062,温暖的告别 ,35,1/2526,2717
1063,不眠之夜 ,10,1/2813,730
1064,抓住那个家伙 ,424,1/2269,27239
1065,美娜的文具店 ,220,1/2221,32930
1066,高龄化家族 ,117,1/2349,12714
1067,全国歌唱竞赛 ,0,1/0,0
1068,玩物 ,147,1/2431,4614
1069,公正社会 ,55,1/2413,7374
1070,传说的拳头 ,161,1/2320,17568
1071,落跑老爸 ,84,1/2386,9637
1072,恋爱的温度 ,254,1/2340,14483
1073,我的帕瓦罗蒂 ,64,1/2445,4577
1074,读心术 ,65,1/2452,3019
1075,新世界 ,586,1/2389,16428
1076,愤怒的伦理学 ,163,1/2311,20137
1077,不是任何人女儿的海媛 ,245,1/2269,23104
1078,男人使用说明书 ,164,1/2306,21415
1079,南方大作战 ,117,1/2355,11214
1080,柏林 ,599,1/2127,57751
1081,波鲁鲁冰雪大冒险 ,136,1/2562,2619
1082,7号房的礼物 ,618,1/2252,33317
1083,神汉流氓 ,160,1/2313,19634
1084,我的小小英雄 ,2,1/3264,6
1085,姐姐 ,25,1/2496,2379
1086,摩天楼 ,395,1/2256,31996
1087,创可贴 ,273,1/2272,23460
1088,家族荣誉5： 家门的归还 ,17,1/2769,755
1089,我的P.S.搭档 ,238,1/2354,13940
1090,26年 ,99,1/2396,6287
1091,音痴诊所 ,47,1/2427,6059
1092,妈妈别哭 ,229,1/2303,21581
1093,南营洞1985 ,377,1/2093,52654
1094,犯罪少年 ,39,1/2443,3222
1095,胡狼来了 ,132,1/2335,16570
1096,如果我告白的话 ,37,1/2473,3599
1097,我是杀人犯 ,469,1/2196,35678
1098,坏血 ,8,1/2939,77
1099,狼少年 ,690,1/2206,47604
1100,海底大冒险 ,305,1/2119,41262
1101,美景之屋 ,10,1/2761,316
1102,芭比 ,387,1/2114,47582
1103,桃树 ,29,1/2599,667
1104,无情的城市 ,14,1/2625,367
1105,钢铁大吴 ,8,1/2824,96
1106,医生 ,317,1/2124,40453
1107,公司职员 ,120,1/2381,9798
1108,占卜师们 ,6,1/3105,135
1109,圣殇 ,450,1/2276,31679
1110,577计划 ,3,1/3158,87
1111,90分钟 ,10,1/2868,110
1112,邻居 ,372,1/2297,25228
1113,R2B：回到基地 ,200,1/2261,22164
1114,随风而逝 ,109,1/2381,5092
1115,我是王 ,11,1/2721,303
1116,胖嘟嘟的革命 ,36,1/2460,5178
1117,夺宝联盟 ,542,1/2263,35256
1118,五百万美元的大丈夫 ,19,1/2598,447
1119,两个月亮 ,139,1/2351,12128
1120,我是公务员 ,14,1/2643,709
1121,铁线虫入侵 ,559,1/2232,34540
1122,两个婚礼一个葬礼 ,94,1/2383,8787
1123,单身的人上天堂 ,67,1/2425,5605
1124,马屁王 ,21,1/2611,934
1125,GO小姐 ,136,1/2343,12300
1126,雅典娜：无间谍局 ,328,1/2107,47154
1127,后宫：帝王之妾 ,400,1/2196,29928
1128,不明影像：绝对点击禁止 ,124,1/2359,9963
1129,车警官 ,131,1/2374,8316
1130,奶奶一年级 ,45,1/2461,5833
1131,天国的孩子们 ,7,1/3149,60
1132,在异国 ,178,1/2309,20104
1133,我妻子的一切 ,377,1/2278,27306
1134,金钱之味 ,335,1/2106,47602
1135,朝韩梦之队 ,216,1/2292,18325
1136,恩娇 ,593,1/2122,60579
1137,人类灭亡报告书 ,291,1/2287,20853
1138,捉奸侦探 ,65,1/2470,3087
1139,借尸还魂 ,37,1/2712,478
1140,建筑学概论 ,600,1/2286,32369
1141,咖啡 ,53,1/2515,2383
1142,火车 ,444,1/2109,51659
1143,银实 ,34,1/2463,3687
1144,十八，十九 ,37,1/2563,1045
1145,爱情小说 ,143,1/2345,12282
1146,嚎叫 ,521,1/2152,49350
1147,与犯罪的战争：坏家伙的全盛时代 ,536,1/2122,57254
1148,爸爸 ,40,1/2606,696
1149,断箭 ,254,1/2256,26173
1150,舞蹈皇后 ,258,1/2273,22697
1151,永无结局的故事 ,44,1/2592,1725
1152,领跑人 ,92,1/2389,7948
1153,考拉大冒险 ,20,1/2673,1533
1154,完美广播 ,52,1/2485,2764
1155,登陆之日 ,393,1/2272,27799
1156,红色假期黑色婚礼 ,143,1/2299,16214
1157,我的见鬼女友 ,478,1/2117,54050
1158,爱实录 ,34,1/2498,2178
1159,特别搜查总部 ,40,1/2588,854
1160,事物的秘密 ,135,1/2323,10758
1161,宠物情人 ,118,1/2337,13519
1162,爱情储蓄罐 ,151,1/2363,12038
1163,猪猡之王 ,44,1/2509,4704
1164,偶像先生 ,125,1/2313,19275
1165,情侣们 ,426,1/2037,73299
1166,今天 ,234,1/2267,22982
1167,只有你 ,322,1/2313,20654
1168,少年菀得 ,335,1/2332,16525
1169,斗魂 ,43,1/2577,1114
1170,委托人 ,178,1/2328,15864
1171,倒计时 ,103,1/2409,5951
1172,阿门 ,1,1/3453,0
1173,纪子，去首尔吧 ,102,1/2391,4281
1174,北村方向 ,235,1/2236,27987
1175,啐啄同时 ,11,1/2710,149
1176,家族荣誉4：家门的受难 ,14,1/2655,340
1177,冠军 ,313,1/2257,27810
1178,痛症 ,204,1/2301,16368
1179,蓝盐 ,434,1/2079,60195
1180,盲证 ,547,1/2264,26488
1181,最终兵器：弓 ,519,1/2141,48366
1182,深海之战 ,488,1/2190,34966
1183,寄生灵 ,357,1/2103,48990
1184,禽兽 ,14,1/2589,524
1185,鸡妈鸭仔 ,176,1/2523,1281
1186,快递惊魂 ,11,1/2708,481
1187,高地战 ,643,1/2150,56194
1188,猫：看见死亡的双眼 ,230,1/2474,4403
1189,和平公主减肥记 ,2,1/3609,96
1190,丰山犬 ,411,1/2124,46776
1191,青葱岁月 ,47,1/2430,4601
1192,白色：诅咒的旋律 ,206,1/2264,22690
1193,白鲸 ,102,1/2393,6682
1194,再见，男孩 ,11,1/2852,29
1195,妈妈 ,14,1/2666,1548
1196,对不起，谢谢你 ,8,1/2910,357
1197,消失的头颅 ,48,1/2452,3230
1198,阳光姐妹淘 ,636,1/2340,26715
1199,逮捕王 ,109,1/2369,8995
1200,世上最美的离别 ,325,1/2286,21962
1201,可疑的顾客们 ,189,1/2322,13390
1202,我是爸爸 ,2,1/3418,13
1203,茂山日记 ,120,1/2362,11203
1204,危险的见面礼 ,98,1/2391,7133
1205,再见我的微笑 ,22,1/2579,1653
1206,我的黑色小礼服 ,461,1/2308,23712
1207,爱情真可怕 ,357,1/2262,27667
1208,爱，不爱 ,451,1/2281,26628
1209,守望者 ,163,1/2331,14893
1210,我爱你 ,541,1/2289,29530
1211,孩子们 ,359,1/2206,36804
1212,惠化，洞 ,0,1/0,0
1213,朝鲜名侦探：高山乌头花的秘密 ,330,1/2109,44406
1214,棒球之爱 ,128,1/2350,8478
1215,心跳 ,26,1/2515,1952
1216,黄海 ,676,1/2201,46829
1217,开心家族 ,548,1/2316,23840
1218,站着睡觉的树 ,143,1/2286,18792
1219,寻找金钟旭 ,320,1/2350,13254
1220,吝啬罗曼史 ,62,1/2451,3504
1221,钢琴师 ,9,1/2816,240
1222,二楼的恶人 ,43,1/2484,2745
1223,我们见过吗 ,2,1/3345,0
1224,两个女人 ,315,1/2129,38032
1225,大庆典 ,105,1/2368,8616
1226,超能力者 ,86,1/2384,9187
1227,伊帕内玛的少年 ,85,1/2398,6917
1228,不良男女 ,134,1/2364,9936
1229,不当交易 ,129,1/2370,10169
1230,纯乐 ,15,1/2668,453
1231,大酱 ,27,1/2544,1148
1232,深夜调频 ,33,1/2535,1718
1233,IRIS电影版 ,11,1/3017,97
1234,教你谈恋爱 ,105,1/2375,4988
1235,难兄难弟 ,12,1/2703,180
1236,恋爱操作团 ,302,1/2229,30355
1237,玉熙的电影 ,142,1/2353,12397
1238,无籍者 ,165,1/2330,15438
1239,大奖赛 ,16,1/2674,411
1240,竞猜王 ,84,1/2392,6070
1241,晚秋 ,164,1/2364,11038
